StateID,State,EV,Gas
1,Alabama,4750,4051000
2,Alaska,1290,464200
3,Arizona,40740,5395300
4,Arkansas,2390,2241600
5,California,563070,30512600
6,Colorado,37000,4456600
7,Connecticut,13350,2578400
8,Delaware,3010,796400
9,District of Columbia,3700,278900
10,Florida,95640,15595900
11,Georgia,34020,8123100
12,Hawaii,14220,968200
13,Idaho,3500,1545500
14,Illinois,36520,8657800
15,Indiana,10360,5149000
16,Iowa,3660,2525400
17,Kansas,4500,2158100
18,Kentucky,4220,3422900
19,Louisiana,3180,3185200
20,Maine,3040,1044300
21,Maryland,25630,4380600
22,Massachusetts,30470,4816400
23,Michigan,17460,7067400
24,Minnesota,15000,4342800
25,Mississippi,1310,2289900
26,Missouri,10050,4582100
27,Montana,1650,761800
28,Nebraska,2710,1574900
29,Nevada,17380,2140700
30,New Hampshire,4000,1187400
31,New Jersey,47830,6346100
32,New Mexico,4150,1569000
33,New York,51870,10116400
34,North Carolina,25190,7685800
35,North Dakota,380,607000
36,Ohio,21200,9019200
37,Oklahoma,7080,3429700
38,Oregon,30290,3094700
39,Pennsylvania,26770,9035500
40,Rhode Island,2550,796100
41,South Carolina,7440,4200600
42,South Dakota,680,726200
43,Tennessee,12160,5396100
44,Texas,80900,20599100
45,Utah,16480,2428900
46,Vermont,3370,511900
47,Virginia,30660,6661000
48,Washington,66810,5792000
49,West Virginia,1010,1268300
50,Wisconsin,9330,4639100
51,Wyoming,510,482400
